Taxon	WTN.F	dbS.F	dbN.F	WTS.F	dbN.O	dbS.B	dbN.B	WTS.B	WTS.L	WTN.L	WTN.O	WTS.O	dbS.O	dbS.L	WTN.B	dbN.L
Unassigned;__;__;__;__;__	20.0	1.0	6.0	24.0	995.0	407.0	248.0	961.0	8700.0	5965.0	2343.0	1404.0	962.0	2440.0	1233.0	1206.0
k__Archaea;__;__;__;__;__	0.0	0.0	6.0	1.0	153.0	101.0	40.0	112.0	2413.0	1195.0	436.0	710.0	251.0	288.0	271.0	212.0
k__Archaea;p__Aenigmarchaeota;__;__;__;__	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	11.0	4.0	0.0	0.0	4.0	6.0	0.0	0.0
k__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG)	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	146.0	63.0	10.0	10.0	4.0	9.0	11.0	1.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__Group_1.1c;g__Group_1.1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopumilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	11.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	8.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaeraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	41.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Rice_Cluster_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__;__;__	23.0	15.0	30.0	60.0	4956.0	1906.0	342.0	747.0	9624.0	7323.0	19244.0	10445.0	5812.0	5883.0	2269.0	5353.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	6.0	0.0	24.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AKIW659;f__AKIW659;g__AKIW659	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;__;__	0.0	0.0	0.0	0.0	3.0	39.0	39.0	38.0	29.0	35.0	0.0	0.0	0.0	35.0	12.0	74.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__	0.0	0.0	0.0	0.0	15.0	52.0	89.0	92.0	77.0	80.0	0.0	0.0	4.0	83.0	16.0	143.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);__	0.0	0.0	0.0	0.0	0.0	12.0	7.0	4.0	7.0	17.0	0.0	0.0	0.0	11.0	5.0	10.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__	0.0	0.0	0.0	0.0	0.0	3.0	35.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	8.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Edaphobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Granulicella	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus_Koribacter	0.0	0.0	0.0	0.0	0.0	23.0	0.0	19.0	8.0	31.0	0.0	0.0	0.0	10.0	4.0	15.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	0.0	6.0	0.0	0.0	0.0	10.0	5.0	19.0	24.0	25.0	0.0	0.0	0.0	223.0	4.0	450.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__PAUC26f;g__PAUC26f	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter	0.0	0.0	0.0	0.0	2.0	44.0	9.0	27.0	14.0	28.0	0.0	0.0	0.0	14.0	2.0	41.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2	0.0	0.0	0.0	0.0	3.0	17.0	21.0	36.0	11.0	14.0	0.0	0.0	0.0	9.0	0.0	28.0
