"Genus","mean_wt","mean_db","mean_trt","delta_disease","delta_treat","rescue_score","is_rescue_dir"
"Romboutsia",-1.23144921370732,-0.91740981254545,-2.39399534952219,0.314039401161868,-1.47658553697674,4.70191170761929,TRUE
"Others",4.85827660395264,5.3002406933461,3.44508081575979,0.441964089393464,-1.85515987758631,4.19753532494522,TRUE
"Brevibacillus",-2.45678962304936,-3.5944059290296,0.955049133789209,-1.13761630598024,4.54945506281881,3.99911203707538,TRUE
"Ralstonia",2.1244534067872,3.57095393760734,0.85616306514029,1.44650053082015,-2.71479087246705,1.87679908484223,TRUE
"Geobacillus",-3.69439458091978,-5.69166963819016,-2.16140349177357,-1.99727505727037,3.53026614641659,1.76754129761242,TRUE
"Pseudomonas",2.76180157008806,4.10606016283468,1.97609123918337,1.34425859274662,-2.12996892365131,1.58449344132464,TRUE
"Staphylococcus",0.528168355717919,1.47975010982516,0.059695607119,0.951581754107244,-1.42005450270616,1.49230951158624,TRUE
"Streptococcus",5.69178705541459,7.93826759558383,5.39760224754219,2.24648054016924,-2.54066534804164,1.13095364175745,TRUE
"Alloprevotella",-0.0511016729764518,-3.66347666251449,-0.818995926491324,-3.61237498953804,2.84448073602317,0.78742676058305,TRUE
"Prevotellaceae_UCG-001",-2.05527876899984,-3.98076790000476,-2.57606169600272,-1.92548913100492,1.40470620400205,0.729532138812397,TRUE
"Bacteroides",0.35600252213207,-1.7093458517065,-0.326594784102877,-2.06534837383857,1.38275106760362,0.669500160417829,TRUE
"Corynebacterium",-0.146775027114381,1.79639988305326,0.585729508624798,1.94317491016764,-1.21067037442846,0.623037261387867,TRUE
"Enterococcus",-3.83829906434987,-0.709877898405987,-1.65079092417882,3.12842116594388,-0.940913025772833,0.300762901113076,TRUE
